#class tools::wcsv::ntuple
#title Primary Muon Data
#separator 44
#vector_separator 59
#column int EventID
#column int ParentID
#column int TrackID
#column double X_mm
#column double Y_mm
#column double Z_mm
1740,0,1,-128.486,198.386,126.06
1777,0,1,60.2261,53.5958,169.626
0,0,0,0,0,0
1811,0,1,-9.47738,140.559,179.75
1822,0,1,-174.033,200.819,45.9616
0,0,0,0,0,0
1846,0,1,-139.795,270.137,113.39
1851,0,1,16.6975,-233.773,179.224
1860,0,1,-121.273,-99.6973,133.014
1863,0,1,-77.6323,-249.539,162.398
1898,0,1,49.6219,-236.466,173.025
1900,0,1,-177.48,-5.30953,30.0122
1943,0,1,120.833,88.6572,133.415
1950,0,1,-119.733,300,65.7136
1960,0,1,-113.546,-251.286,139.668
1973,0,1,13.8819,-183.1,179.464
1974,0,1,-176.519,88.1676,-35.2305
0,0,0,0,0,0
1990,0,1,-43.4819,-191.119,174.669
1998,0,1,5.39746,52.1716,179.919
0,0,0,0,0,0
0,0,0,0,0,0
2012,0,1,123.349,39.6008,131.092
2013,0,1,93.6673,126.846,153.709
0,0,0,0,0,0
0,0,0,0,0,0
2024,0,1,179.979,-129.163,-2.7416
2027,0,1,97.3756,-33.1256,151.387
0,0,0,0,0,0
0,0,0,0,0,0
2063,0,1,-179.95,262.333,4.25365
0,0,0,0,0,0
2112,0,1,146.471,-185.583,104.625
0,0,0,0,0,0
2117,0,1,-50.535,194.622,172.761
2122,0,1,11.735,228.27,-99.3091
2132,0,1,-146.548,228.516,104.516
0,0,0,0,0,0
2144,0,1,-52.2009,62.5325,172.265
2146,0,1,163.75,251.644,74.7392
2152,0,1,-61.7543,33.2929,169.075
0,0,0,0,0,0
2163,0,1,-179.694,-299.328,10.4972
2164,0,1,11.6468,-26.3133,179.623
0,0,0,0,0,0
0,0,0,0,0,0
2202,0,1,30.8013,-14.2936,177.345
2208,0,1,133.735,48.116,120.478
2213,0,1,112.892,-68.9911,140.198
2233,0,1,77.9821,105.217,162.231
2237,0,1,-175.33,-229.827,-40.7369
0,0,0,0,0,0
2286,0,1,-130.254,-246.012,124.233
2298,0,1,141.874,172.854,110.778
2306,0,1,-102.444,237.538,148.004
2321,0,1,148.765,152.187,101.336
2352,0,1,6.09145,-29.3177,179.897
2370,0,1,-171.761,177.117,53.8356
2389,0,1,-12.6131,264.71,179.558
2408,0,1,-114,88.9104,139.298
2422,0,1,-146.182,-212.192,105.028
2424,0,1,-50.5551,-147.84,172.755
2435,0,1,16.2941,270.689,-98.6636
0,0,0,0,0,0
2463,0,1,61.7355,-22.3498,169.082
0,0,0,0,0,0
2522,0,1,-119.575,300,5.78157
2532,0,1,55.9612,-83.4506,171.08
0,0,0,0,0,0
2548,0,1,79.2885,-191.457,161.596
2550,0,1,-71.0372,300,119.101
2566,0,1,-0.917475,-108.024,179.998
2568,0,1,82.55,-15.2484,159.955
2571,0,1,136.644,-60.6026,117.169
2596,0,1,-17.3355,-164.82,179.163
2603,0,1,114.557,300,28.9029
2617,0,1,156.063,-111.346,89.6899
2621,0,1,139.187,-237.393,114.136
2631,0,1,-140.19,14.9477,112.902
