3,309.941,-450.478,550.1,283.723,-385.261,450.1,53.6153,207.753,-449.9,28.7248,274.523,-549.9,189.464,-150.786,90.5718,175.863,-116.633,38.3705
40,163.18,370.232,550.1,129.635,330.528,450.1,-175.615,-25.6272,-449.9,-209.46,-65.4553,-549.9,47.2806,233.072,204.608,37.6615,221.745,176.016
109,-183.173,-31.1731,550.1,-152.56,-30.5682,450.1,91.175,-15.2273,-449.9,117.148,-12.0915,-549.9,-74.8564,-29.0558,196.205,-66.2195,-28.8289,167.377
124,-92.1974,-82.3549,550.1,-53.3012,-52.4213,450.1,305.292,214.784,-449.9,345.156,244.078,-549.9,41.6241,20.7834,205.834,55.0082,31.1074,171.389
185,-245.621,239.985,550.1,-219.003,223.023,450.1,107.982,122.848,-449.9,164.492,123.834,-549.9,-140.911,173.155,155.705,-132.395,167.111,121.949
215,-404.644,210.051,550.1,-336.324,159.453,450.1,246.565,-340.843,-449.9,312.527,-403.401,-549.9,-137.46,12.7826,158.76,-120.483,0.39283,133.73
245,68.1507,427.129,550.1,54.1737,399.044,450.1,-72.8235,156.324,-449.9,-87.5363,130.906,-549.9,-33.2525,223.765,-176.902,-21.9842,245.537,-97.5536
269,14.0386,244.919,550.1,-16.4911,179.918,450.1,-287.157,-423.126,-449.9,-316.916,-491.38,-549.9,-97.0257,8.49431,186.242,-110.88,-20.549,141.794
282,227.312,-4.41971,550.1,163.738,22.4999,450.1,-393.98,249.974,-449.9,-454.269,274.578,-549.9,10.9797,87.227,209.713,-8.09189,95.2099,179.818
296,181.79,186.478,550.1,151.37,161.43,450.1,-120.075,-69.3745,-449.9,-149.911,-95.3385,-549.9,74.2043,97.8858,196.453,65.3928,90.6458,167.701
347,-183.113,275.973,550.1,-161.822,231.57,450.1,64.502,-158.379,-449.9,98.0119,-206.125,-549.9,-104.577,112.398,182.109,-97.9236,98.5486,151.033
410,393.781,386.856,550.1,324.483,358.33,450.1,-290.351,98.3147,-449.9,-357.735,69.9547,-549.9,128.012,277.44,166.472,110.876,270.287,141.797
489,-13.7246,40.1693,550.1,-8.85544,74.1194,450.1,48.372,367.779,-449.9,55.2577,400.035,-549.9,2.64669,155.478,209.983,4.04839,165.568,179.954
501,154.195,-322.322,550.1,152.982,-275.194,450.1,157.879,161.387,-449.9,160.136,211.344,-549.9,149.274,-132.661,147.706,148.937,-110.838,101.083
528,-281.48,-239.694,550.1,-235.043,-249.713,450.1,184.325,-345.898,-449.9,231.014,-356.986,-549.9,-109.295,-276.852,179.317,-96.5671,-279.599,151.904
533,-96.3877,0.0272651,550.1,-106.819,18.7475,450.1,-192.7,202.013,-449.9,-200.951,224.195,-549.9,-137.222,73.2123,158.966,-141.9,82.4459,110.744
555,-304.334,-315.851,550.1,-278.956,-273.457,450.1,-48.1623,104.592,-449.9,-22.3734,146.091,-549.9,-188.315,-122.015,92.937,-175.116,-100.293,41.6463
556,-303.528,-213.862,550.1,-249.005,-231.159,450.1,223.23,-380.221,-449.9,274.418,-396.34,-549.9,-103.262,-277.382,182.858,-88.9214,-281.956,156.502
625,-18.9773,-205.646,550.1,-39.3002,-161.103,450.1,-195.062,279.617,-449.9,-209.417,331.831,-549.9,-92.1957,-44.5933,188.68,-99.545,-27.5828,149.969
650,11.5133,-492.854,550.1,40.6317,-423.598,450.1,297.758,196.199,-449.9,326.029,264.797,-549.9,121.913,-230.289,170.989,137.952,-192.083,115.625
696,-270.559,484.852,550.1,-228.945,458.271,450.1,133.895,219.676,-449.9,171.552,193.717,-549.9,32.0023,290.639,-177.132,18.285,300.0,-142.708
734,69.6816,-290.539,550.1,87.7349,-245.351,450.1,274.252,157.125,-449.9,297.47,201.194,-549.9,140.808,-112.378,155.798,151.356,-85.5034,97.4232
777,-377.652,-64.524,550.1,-302.462,-65.4762,450.1,374.617,-76.6542,-449.9,449.984,-78.3155,-549.9,-102.033,-67.9866,183.546,-83.8338,-68.2341,159.286
832,-363.437,-69.1279,550.1,-311.991,-103.526,450.1,243.455,-350.156,-449.9,322.386,-370.626,-549.9,-154.055,-209.397,142.713,-138.851,-219.13,114.544
835,-116.131,496.803,550.1,-122.27,457.902,450.1,-177.451,107.892,-449.9,-183.572,69.0179,-549.9,-155.466,247.524,-90.7219,-147.189,300.0,44.1825
838,-245.987,-158.708,550.1,-199.526,-101.136,450.1,236.529,361.95,-449.9,285.798,407.697,-549.9,-80.4956,46.2362,193.96,-67.7262,61.5877,166.773
862,-177.529,-215.392,550.1,-144.301,-200.958,450.1,152.92,-68.1106,-449.9,185.665,-53.4126,-549.9,-61.4599,-164.968,200.805,-52.0045,-160.845,172.324
924,179.69,-254.442,550.1,174.266,-208.449,450.1,116.532,219.021,-449.9,108.636,268.0,-549.9,157.434,-65.2928,138.977,154.556,-43.9359,92.2628
967,-284.475,158.089,550.1,-250.446,109.439,450.1,46.487,-325.923,-449.9,78.5218,-374.001,-549.9,-147.976,-37.0744,149.007,-136.983,-52.7883,116.772
970,262.307,13.6714,550.1,215.416,-9.48281,450.1,-209.405,-215.884,-449.9,-257.117,-238.902,-549.9,92.7275,-70.0598,188.419,79.9824,-76.3226,161.254
991,-65.5349,-158.798,550.1,-42.0164,-137.15,450.1,168.45,52.4988,-449.9,191.604,72.9899,-549.9,14.5853,-85.0632,209.493,21.8297,-78.384,178.671
996,-67.9569,246.854,550.1,-45.3994,211.926,450.1,159.826,-123.163,-449.9,183.271,-162.883,-549.9,8.83351,127.986,209.814,15.7821,117.344,179.307
1003,153.659,172.89,550.1,115.292,157.576,450.1,-237.411,-33.5311,-449.9,-276.361,-61.391,-549.9,22.7179,120.601,208.768,11.1969,115.953,179.651
1074,-452.258,-304.228,550.1,-379.449,-282.654,450.1,274.009,-87.1035,-449.9,347.31,-65.2421,-549.9,-154.977,-216.124,141.712,-136.899,-210.766,116.87
1093,-182.057,103.118,550.1,-159.276,81.0559,450.1,-55.8252,-85.9716,-449.9,-61.8348,-101.765,-549.9,-98.9359,22.1001,185.234,-92.1569,15.1489,154.619
1123,242.788,12.3877,550.1,179.776,55.1524,450.1,-389.84,441.755,-449.9,-453.355,484.931,-549.9,27.3573,158.587,208.21,9.43294,170.745,179.753
1152,20.07,-126.663,550.1,43.2009,-74.2414,450.1,254.099,395.981,-449.9,277.926,448.135,-549.9,105.281,66.4649,181.703,115.322,89.2264,138.206
1251,90.7946,-9.46314,550.1,54.3354,-33.9884,450.1,-283.873,-284.078,-449.9,-322.116,-314.178,-549.9,-34.2438,-93.5935,207.189,-46.4827,-101.916,173.895
1272,184.612,218.46,550.1,178.193,202.013,450.1,120.344,51.2832,-449.9,114.065,34.337,-549.9,158.167,150.702,138.142,155.13,142.953,91.2944
1286,9.85594,284.444,550.1,4.9725,272.363,450.1,4.36508,207.978,-449.9,7.43034,200.388,-549.9,-6.70389,243.371,209.893,-7.57255,240.034,179.841
1290,40.8369,-197.624,550.1,35.5424,-215.58,450.1,-20.7599,-376.543,-449.9,-27.5181,-394.5,-549.9,22.7867,-258.942,208.76,21.0755,-264.237,178.762
1333,-199.733,-103.915,550.1,-164.166,-65.5539,450.1,136.582,269.393,-449.9,167.966,305.839,-549.9,-73.9825,31.7386,196.536,-63.9573,42.559,168.254
1384,-121.704,9.79957,550.1,-95.9379,28.022,450.1,133.4,192.477,-449.9,158.675,210.758,-549.9,-33.3778,72.2491,207.33,-25.8254,77.5948,178.138
1397,13.5934,-322.436,550.1,41.8617,-287.222,450.1,296.681,30.038,-449.9,325.054,65.3541,-549.9,120.476,-189.293,172.005,135.641,-170.395,118.328
1451,-430.372,-310.871,550.1,-381.688,-255.18,450.1,51.28,248.695,-449.9,100.747,308.767,-549.9,-197.447,-43.9547,71.5174,-178.172,-17.8186,25.5873
1485,-176.994,52.3984,550.1,-166.601,73.2328,450.1,-65.3182,270.038,-449.9,-54.1091,293.727,-549.9,-136.36,133.768,159.706,-132.344,141.616,122.004
1489,-472.489,-249.186,550.1,-393.031,-209.68,450.1,326.672,159.474,-449.9,405.993,201.598,-549.9,-151.123,-89.5723,145.814,-132.185,-80.1533,122.177
1502,296.977,156.791,550.1,273.389,133.386,450.1,70.2495,-84.4675,-449.9,49.1955,-109.332,-549.9,188.881,49.5188,91.7819,176.03,36.5261,37.5969
1523,-11.6624,-194.806,550.1,-35.7795,-186.731,450.1,-237.834,-54.5182,-449.9,-259.092,-32.4694,-549.9,-99.8173,-165.281,184.761,-109.909,-161.12,142.548
1631,-172.254,404.233,550.1,-139.896,370.73,450.1,197.568,21.7908,-449.9,241.55,-18.7395,-549.9,-59.4204,287.418,201.418,-50.2373,277.581,172.847
1639,-90.8927,52.9413,550.1,-93.9002,65.583,450.1,-151.728,187.516,-449.9,-160.312,200.652,-549.9,-102.029,99.2526,183.549,-103.431,103.744,147.316
1642,-305.144,-181.512,550.1,-266.85,-157.158,450.1,72.2589,76.8415,-449.9,108.648,104.808,-549.9,-150.582,-83.168,146.373,-138.537,-75.552,114.924
1715,-10.2855,283.839,550.1,-32.1462,229.708,450.1,-228.3,-256.295,-449.9,-250.356,-309.961,-549.9,-88.9389,89.0419,190.236,-97.408,67.9728,151.366
1800,296.809,-18.1494,550.1,266.157,-52.7286,450.1,-13.3369,-366.327,-449.9,-44.867,-401.175,-549.9,167.158,-164.401,127.115,155.816,-177.192,90.118
1803,169.714,304.466,550.1,168.515,241.238,450.1,156.818,-324.981,-449.9,155.527,-387.684,-549.9,164.661,39.1038,130.334,163.869,3.84547,74.4778
1839,-234.709,-118.679,550.1,-186.254,-93.7179,450.1,255.666,134.337,-449.9,305.039,160.211,-549.9,-64.923,-31.2062,199.712,-51.6575,-24.3336,172.428
1845,335.618,229.282,550.1,288.605,225.638,450.1,-130.959,203.064,-449.9,-176.576,201.812,-549.9,147.361,214.681,149.615,133.711,213.624,120.505
1891,-92.824,-2.88118,550.1,-95.9979,17.4304,450.1,-120.139,200.558,-449.9,-122.821,221.642,-549.9,-104.476,71.842,182.167,-105.552,79.0482,145.804
1915,-133.651,122.365,550.1,-108.831,152.414,450.1,119.131,450.542,-449.9,144.695,485.112,-549.9,-47.9383,226.25,204.455,-40.6634,234.963,175.347
1993,-8.60832,376.919,550.1,-1.62934,356.109,450.1,81.3717,138.672,-449.9,93.1094,108.085,-549.9,17.2742,300.0,180.196,17.3465,299.785,179.162
2036,-200.444,-93.0485,550.1,-187.242,-62.4958,450.1,-64.6556,223.031,-449.9,-50.5901,255.932,-549.9,-147.535,29.3728,149.444,-142.33,41.3956,110.191
2055,90.9062,253.266,550.1,90.0165,207.815,450.1,64.9902,-218.66,-449.9,61.8119,-266.489,-549.9,87.7465,89.8604,190.789,87.4544,74.6483,157.327
2059,136.934,-202.036,550.1,125.103,-211.877,450.1,-4.53093,-299.939,-449.9,-21.804,-310.029,-549.9,94.1357,-237.686,187.719,90.1652,-241.216,155.789
2068,-286.92,43.6493,550.1,-239.56,60.7024,450.1,183.228,206.95,-449.9,231.337,222.43,-549.9,-110.864,107.024,178.351,-98.0095,111.633,150.977
2198,-437.662,419.158,550.1,-390.99,371.921,450.1,9.59229,-41.764,-449.9,52.8433,-88.2695,-549.9,-204.082,182.711,49.5045,-179.97,158.824,-3.29424
2286,424.942,61.7463,550.1,359.96,65.2933,450.1,-232.668,128.739,-449.9,-297.463,140.075,-549.9,157.646,76.2432,138.737,140.468,77.3115,112.556
2341,152.327,367.712,550.1,107.808,309.437,450.1,-299.113,-231.998,-449.9,-344.901,-293.91,-549.9,0.801542,169.51,209.998,-12.7632,151.897,179.547
2348,31.1273,82.686,550.1,39.0893,82.4815,450.1,110.113,82.2596,-449.9,117.99,82.3796,-549.9,58.879,81.9721,201.577,61.458,81.9063,169.183
2364,-400.081,-93.549,550.1,-338.33,-89.1249,450.1,219.385,-44.0338,-449.9,281.497,-38.1685,-549.9,-150.684,-75.7009,146.268,-134.34,-74.5338,119.803
2462,175.304,328.381,550.1,124.012,300.26,450.1,-327.067,31.3597,-449.9,-374.615,-0.227955,-549.9,0.801154,232.701,209.998,-14.9098,224.099,179.381
2596,-232.901,-141.689,550.1,-200.232,-129.653,450.1,95.307,-20.8451,-449.9,128.461,-8.74492,-549.9,-111.357,-96.9076,178.044,-101.716,-93.3516,148.506
2617,-122.988,-286.303,550.1,-103.565,-233.881,450.1,68.1791,241.04,-449.9,87.257,294.372,-549.9,-55.4636,-104.089,202.543,-49.7775,-88.5306,172.98
2628,497.285,103.547,550.1,416.587,130.935,450.1,-308.423,380.734,-449.9,-389.081,408.736,-549.9,161.616,217.467,134.091,142.333,224.011,110.188
2636,261.024,-147.009,550.1,218.468,-94.0221,450.1,-164.337,380.989,-449.9,-206.738,433.679,-549.9,104.452,47.9408,182.181,92.595,62.6935,154.357
2741,313.968,208.475,550.1,284.492,206.116,450.1,13.4373,181.552,-449.9,-17.2785,178.338,-549.9,182.478,197.977,103.932,169.61,196.959,60.2705
2775,-152.743,-297.88,550.1,-146.895,-249.536,450.1,-97.521,184.507,-449.9,-92.4427,232.566,-549.9,-130.205,-111.585,164.762,-127.988,-93.1324,126.566
2796,-31.0379,-450.384,550.1,-59.0917,-385.615,450.1,-306.409,202.302,-449.9,-333.058,268.179,-549.9,-141.942,-194.32,154.766,-164.855,-141.269,72.2694
2809,-155.154,159.915,550.1,-123.975,129.306,450.1,159.071,-144.316,-449.9,190.012,-175.041,-549.9,-47.4116,54.1414,204.578,-38.2464,45.3543,175.89
2819,-401.529,-417.802,550.1,-334.213,-354.807,450.1,279.476,226.443,-449.9,350.545,292.764,-549.9,-137.886,-171.101,158.39,-120.981,-155.154,133.28
2821,165.909,-228.859,550.1,158.883,-223.849,450.1,103.304,-173.245,-449.9,97.7355,-167.347,-549.9,138.347,-209.218,157.987,135.565,-207.236,118.415
2968,84.3228,-147.572,550.1,62.2913,-136.333,450.1,-138.063,-39.1721,-449.9,-160.301,-28.719,-549.9,9.36753,-109.333,209.791,2.84288,-106.024,179.978
2980,-491.1,-175.589,550.1,-431.02,-152.159,450.1,80.2807,39.6631,-449.9,128.167,57.1461,-549.9,-199.836,-61.7702,64.542,-177.826,-53.1319,27.8888
3012,-32.4242,-96.0415,550.1,-32.4371,-113.355,450.1,-73.4807,-260.387,-449.9,-81.823,-276.151,-549.9,-32.3667,-155.387,207.491,-32.4099,-160.652,177.058
3016,-241.805,388.527,550.1,-210.845,343.06,450.1,90.9745,-54.3024,-449.9,127.046,-97.3252,-549.9,-123.976,215.527,169.499,-114.49,201.592,138.896
3077,-35.9574,0.407483,550.1,-43.6014,-43.0097,450.1,-115.565,-419.747,-449.9,-123.423,-460.475,-549.9,-62.7403,-151.427,200.409,-65.2512,-165.495,167.757
3105,-234.964,-100.441,550.1,-189.18,-66.676,450.1,210.84,237.135,-449.9,251.972,271.211,-549.9,-73.2772,18.972,196.801,-60.7019,28.486,169.456
3136,488.627,119.932,550.1,416.586,116.853,450.1,-243.01,92.357,-449.9,-315.767,91.4984,-549.9,175.466,106.723,115.376,156.295,105.81,89.2862
3139,118.154,-57.3345,550.1,85.3137,-19.5508,450.1,-225.116,324.066,-449.9,-261.33,363.08,-549.9,6.44977,71.2491,209.901,-3.40425,82.6353,179.968
3182,-48.075,-154.645,550.1,-13.4095,-163.501,450.1,298.991,-242.367,-449.9,333.797,-251.173,-549.9,74.5538,-185.984,196.32,88.2464,-189.501,156.884
3187,-102.077,-140.889,550.1,-75.4474,-160.775,450.1,167.677,-327.294,-449.9,195.961,-342.931,-549.9,-12.0249,-209.009,209.655,-4.29672,-215.228,179.949
3260,16.296,-145.223,550.1,6.06777,-145.402,450.1,-80.8898,-147.065,-449.9,-90.3651,-148.481,-549.9,-18.5926,-145.845,209.175,-21.7118,-145.86,178.686
3306,-21.0935,-193.281,550.1,-21.9595,-193.048,450.1,71.4289,-209.92,-449.9,89.6011,-215.537,-549.9,-24.2783,-192.427,208.592,-24.5763,-192.359,178.314
3462,8.32172,-165.362,550.1,-23.6885,-187.27,450.1,-313.087,-369.566,-449.9,-345.404,-388.702,-549.9,-110.606,-246.785,178.512,-126.862,-257.923,127.695
3468,182.783,269.922,550.1,177.814,228.614,450.1,133.985,-110.877,-449.9,127.753,-146.459,-549.9,161.852,97.9146,133.805,159.02,78.3272,84.3372
3494,291.498,164.975,550.1,264.232,185.28,450.1,81.8983,351.479,-449.9,69.4801,368.454,-549.9,173.714,252.693,117.997,162.762,259.933,76.8673
3535,-425.245,390.948,550.1,-374.24,311.479,450.1,94.823,-413.479,-449.9,147.694,-494.92,-549.9,-190.173,24.5379,89.0743,-171.882,-4.18166,53.4469
3588,-76.6378,168.106,550.1,-89.7858,128.084,450.1,-203.499,-237.495,-449.9,-215.9,-278.838,-549.9,-127.003,14.9194,167.243,-133.104,-3.41681,121.175
3600,-235.354,-104.505,550.1,-224.942,-121.728,450.1,-124.153,-277.015,-449.9,-112.196,-294.044,-549.9,-187.828,-183.077,93.9177,-179.435,-196.844,14.2515
3618,93.0095,-432.742,550.1,78.1835,-409.564,450.1,-42.4635,-189.879,-449.9,-50.288,-160.059,-549.9,-18.5838,-267.548,-179.038,-3.79753,-281.805,-99.9279
3628,-56.0252,94.7067,550.1,-55.0291,94.1827,450.1,-44.4822,114.56,-449.9,-43.9038,118.965,-549.9,-52.5834,92.8581,203.31,-52.2736,92.683,172.242
3645,-65.5112,-83.4041,550.1,-76.5502,-85.9184,450.1,-154.426,-81.638,-449.9,-159.38,-77.7199,-549.9,-106.268,-92.7263,181.128,-110.728,-93.5945,141.913
3646,-34.6908,-56.278,550.1,-54.4397,-86.566,450.1,-256.773,-365.052,-449.9,-280.3,-396.786,-549.9,-107.93,-168.41,180.142,-117.348,-182.197,136.489
3649,-270.887,191.091,550.1,-203.585,216.996,450.1,402.147,451.16,-449.9,469.459,477.231,-549.9,-39.4712,280.16,206.257,-20.9879,287.289,178.772
3654,109.808,479.627,550.1,64.4979,445.887,450.1,-334.883,121.841,-449.9,-378.066,82.8983,-549.9,-168.512,271.986,-63.2747,-131.583,300.0,17.4457
3690,-167.626,36.1401,550.1,-161.094,28.7807,450.1,-104.222,-37.4998,-449.9,-98.0278,-44.908,-549.9,-141.816,7.05269,154.881,-139.174,4.05649,114.151
3761,22.8992,77.8759,550.1,38.6435,65.6136,450.1,141.637,-14.2946,-449.9,146.333,-17.2557,-549.9,78.9304,34.2873,194.602,84.6759,30.3496,158.839
3765,368.732,-115.438,550.1,329.531,-77.683,450.1,-55.5459,249.728,-449.9,-106.333,286.146,-549.9,188.92,57.4251,91.7013,172.725,72.4188,50.6568
3818,-194.596,-146.043,550.1,-177.316,-150.949,450.1,2.84273,-155.364,-449.9,27.6653,-150.55,-549.9,-128.237,-164.625,166.299,-122.06,-166.446,132.292
3819,-443.411,188.646,550.1,-373.982,166.282,450.1,266.315,-54.2364,-449.9,339.425,-80.5442,-549.9,-157.747,96.5515,138.622,-139.944,90.9214,113.206
3838,-136.682,-304.488,550.1,-130.572,-290.444,450.1,-69.4072,-176.32,-449.9,-61.6011,-165.054,-549.9,-113.857,-251.999,176.456,-111.664,-247.11,141.178
3843,235.598,126.595,550.1,214.372,155.254,450.1,-26.5008,394.073,-449.9,-57.5148,418.611,-549.9,149.988,242.232,146.982,142.186,252.737,110.377
3872,107.246,112.714,550.1,64.8601,125.354,450.1,-280.249,214.223,-449.9,-316.491,219.854,-549.9,-38.3454,156.173,206.469,-52.1419,160.444,172.282
3893,-157.709,-133.545,550.1,-135.157,-131.514,450.1,70.1093,-114.09,-449.9,93.1542,-112.035,-549.9,-77.6554,-126.34,195.114,-70.9558,-125.739,165.425
3945,253.388,215.351,550.1,216.624,166.456,450.1,-113.813,-270.168,-449.9,-150.442,-318.09,-549.9,115.629,32.0739,175.299,104.934,17.8845,146.249
